type,name,latitude_deg,longitude_deg,iso_country,scheduled_service,iata_code
medium_airport,Eduardo Falla Solano Airport,2.15217,-74.7663,CO,yes,SVI
medium_airport,"Svolvær Airport, Helle",68.243301,14.6692,NO,yes,SVJ
medium_airport,Savonlinna Airport,61.9431,28.945101,FI,yes,SVL
large_airport,Sheremetyevo International Airport,55.976858,37.41121,RU,yes,SVO
large_airport,Seville Airport,37.417999,-5.89311,ES,yes,SVQ
heliport,Savissivik Heliport,76.018613,-65.117683,GL,yes,SVR
small_airport,Stevens Village Airport,66.016727,-149.056835,US,yes,SVS
small_airport,Savusavu Airport,-16.803394,179.340587,FJ,yes,SVU
large_airport,Koltsovo Airport,56.743099212646,60.802700042725,RU,yes,SVX
medium_airport,Juan Vicente Gómez International Airport,7.840809,-72.439878,VE,yes,SVZ
large_airport,Jieyang Chaoshan International Airport,23.552,116.5033,CN,yes,SWA
medium_airport,New York Stewart International Airport,41.50421,-74.108901,US,yes,SWF
small_airport,San Vicente Airport,10.524298,119.272899,PH,yes,SWL
medium_airport,Stillwater Regional Airport,36.162132,-97.085581,US,yes,SWO
small_airport,Sultan Muhammad Kaharuddin III Airport,-8.48904,117.412003,ID,yes,SWQ
small_airport,Shakawe Airport,-18.373899459838867,21.832599639892578,BW,yes,SWX
large_airport,Strasbourg Airport,48.5383,7.62823,FR,yes,SXB
small_airport,Mathilda Batlayeri Airport,-7.848354,131.337068,ID,yes,SXK
large_airport,Princess Juliana International Airport,18.041,-63.108898,SX,yes,SXM
small_airport,Nunam Iqua Airport,62.520599,-164.848006,US,yes,SXP
large_airport,Sheikh ul Alam International Airport,33.987099,74.7742,IN,yes,SXR
seaplane_base,Seal Bay Seaplane Base,58.373291,-152.201797,US,yes,SYB
large_airport,Sydney Kingsford Smith International Airport,-33.946098,151.177002,AU,yes,SYD
seaplane_base,Silva Bay Seaplane Base,49.151,-123.698,CA,yes,SYF
small_airport,Pu'er Simao Airport,22.793301,100.959,CN,yes,SYM
medium_airport,Shonai Airport,38.812199,139.787003,JP,yes,SYO
medium_airport,Tobías Bolaños International Airport,9.95705,-84.139801,CR,yes,SYQ
large_airport,Syracuse Hancock International Airport,43.11119842529297,-76.1063003540039,US,yes,SYR
medium_airport,Saskylakh Airport,71.927902,114.080002,RU,yes,SYS
small_airport,Warraber Island Airport,-10.20829963684082,142.8249969482422,AU,yes,SYU
large_airport,Sanya Phoenix International Airport,18.3029,109.412003,CN,yes,SYX
medium_airport,Stornoway Airport,58.215599,-6.33111,GB,yes,SYY
large_airport,Shiraz Shahid Dastghaib International Airport,29.5392,52.589802,IR,yes,SYZ
medium_airport,Soyo Airport,-6.141089916229248,12.371800422668457,AO,yes,SZA
large_airport,Sultan Abdul Aziz Shah International Airport,3.13058,101.549004,MY,yes,SZB
small_airport,Semera Airport,11.7875,40.9915,ET,yes,SZE
medium_airport,Samsun-Çarşamba Airport,41.253988,36.567546,TR,yes,SZF
large_airport,Salzburg Airport,47.793301,13.0043,AT,yes,SZG
medium_airport,Shuozhou Zirun Airport,39.273241,112.691552,CN,yes,SZH
